sb	name	pv	pos_peak	pos_avg	pos_ngy	neg_peak	neg_avg	neg_cnt	neg_ngy	mwh 	mw1	max pw	trxno	lat+long	DT	MT1	MT3	E5:GWh	E2:GWh	SPP	VSPP	REPL

ระยอง
PQC	ปทุมธานี 3	ปทุมธานี	94.380005	33.095993	144945.67	7.0299997	3.4291666	15	6.25	0	0	100	2	https://maps.google.com/?q=13.9784,100.5243	670	15443	887	477	425	0	0	0
PQD	ปทุมธานี 4	ปทุมธานี	66.24	20.93724	91703.19	4	2.2399998	4	1.02	0	0	100	2	https://maps.google.com/?q=14.0642,100.5231	1006	14406	1006	526	469	0	0	0
RGA	รังสิต 1	ปทุมธานี	94.72	22.909061	100341.58	3.62	3.62	1	0.905	0	0	100	2	https://maps.google.com/?q=13.9825,100.6185	542	12012	1144	305	271	0	0	0
RSA	รังสิตใต้ 1	ปทุมธานี	102.33	34.229763	149924.25	2.21	2.21	2	0.5525	0	0	100	2	https://maps.google.com/?q=13.9613,100.6429	1050	37309	1632	279	245	0	0	0
SKK	สามโคก	ปทุมธานี	58.93	18.902887	82789.66	12.43	12.43	5	5.11	0	0	100	2	https://maps.google.com/?q=14.1085,100.5708	742	9063	634	431	385	1	0	0
TMS	ธรรมศาสตร์	ปทุมธานี	81.58001	16.102	70413.96	9.049999	5.1321807	1572	101.0875	0	0	150	3	https://maps.google.com/?q=14.0671,100.6057	1020	21674	1129	625	558	2	0	0
TYA	ธัญบุรี	ปทุมธานี	113.060005	43.33506	189798.55	7.6000004	6.0575	9	2.5	26	13	100	2	https://maps.google.com/?q=13.9978,100.6743	1504	42549	1592	585	518	0	0	0

บุรีรัมย์
BRA	บุรีรัมย์ 1	บุรีรัมย์	95.9	33.142685	125255.36	23.01	10.432417	23330	15175.907	35	17.5	100	2	https://maps.google.com/?q=15.0220,103.1081	1970	62272	2323	772	685	0	4	1
BRB	บุรีรัมย์ 2	บุรีรัมย์	63.85	24.260609	102445.36	23.929998	11.082508	4294	2135.5803	0	0	50	1	https://maps.google.com/?q=14.9552,103.0713	1701	54417	1344	633	563	0	0	0
NAR	นางรอง	บุรีรัมย์	26.939999	9.403747	40423.887	15.21	10.6013775	1130	1479.0924	0	0	50	1	https://maps.google.com/?q=14.6244,102.8701	584	22187	550	200	180	0	1	0
NOK	หนองกี่	บุรีรัมย์	79.71	27.709385	102298.09	30.11	11.915009	27773	18731.547	0	0	100	2	https://maps.google.com/?q=14.6967,102.5015	1626	59369	1246	737	659	0	8	0
XTA	สตึก	บุรีรัมย์	27.099998	5.5557213	23141.828	12.6	7.0247993	8177	8071.326	0	0	50	1	https://maps.google.com/?q=15.2715,103.2708	560	24384	485	140	123	0	0	0

ปราจีนบุรี
BSG	บ้านสร้าง	ปราจีนบุรี	71.46999	14.951572	58139.508	31.720001	10.737015	19550	9187.508	0	0	100	2	https://maps.google.com/?q=14.0084,101.2450	881	12680	450	386	345	0	5	0
KBJ	กบินทร์บุรี 2	ปราจีนบุรี	103.520004	35.035034	152171.25	10.87	3.9210167	1092	266.72876	42	21	100	2	https://maps.google.com/?q=14.0226,101.7821	1960	39535	1305	707	634	1	0	0
KBL	กบินทร์บุรี 4	ปราจีนบุรี	38.699997	11.327345	49510.617	9.700001	7.1609583	142	12.775	0	0	100	2	https://maps.google.com/?q=13.9145,101.6521	585	7325	221	414	370	0	0	0
NSI	นนทรี	ปราจีนบุรี	56.769997	12.255537	47794.06	35.19	10.5214	18771	12495.068	0	0	100	2	https://maps.google.com/?q=14.0105,101.7025	1029	20636	593	385	345	1	3	0
PAA	ปราจีนบุรี 1	ปราจีนบุรี	85.61	28.98145	125509.71	14.559999	6.942181	3471	941.45575	35	17.5	100	2	https://maps.google.com/?q=14.1472,101.3179	2011	49433	1719	876	781	0	1	0
PAB	ปราจีนบุรี 2	ปราจีนบุรี	41.49	10.286957	43730.176	9.01	1.2534748	2021	442.13513	0	0	100	2	https://maps.google.com/?q=13.8407,101.5447	582	10947	465	350	313	1	1	0
PCK	ประจันตคาม	ปราจีนบุรี	38.489998	8.532904	36191.15	9.25	2.7786431	6003	2133.5728	0	0	50	1	https://maps.google.com/?q=14.0985,101.5087	863	24099	685	229	203	0	2	0
