sb	name	pv	pos_peak	pos_avg	pos_ngy	neg_peak	neg_avg	neg_cnt	neg_ngy	mwh 	mw1	max pw	trxno	lat+long	DT	MT	E5:GWh	E2:GWh
SNA	????	???????????????	81.96	28.81651	125932.62	12.559999	4.6904697	368	46.5675	8	4	100	2	"14.3130,100.3981"	1757	46376	624	555
WAA	??????? 1	???????????????	102.70999	29.4384	127159.65	14.559999	6.177068	1487	537.27484	8	4	100	2	"14.2494,100.7033"	1166	24702	573	510
WAB	??????? 2	???????????????	82.92999	25.296185	110797.22	0.03	0.03	1	0.0075	0	0	100	2	"14.2705,100.7958"	642	5610	518	463
BAK	???????	??????????	95.490005	31.66209	138679.73	0.83	0.83	1	0.2075	0	0	100	2	"13.8552,101.1632"	1503	25440	529	472
BAP	?????????????	??????????	88.68	29.806417	130551.766	1.11	1.11	1	0.2775	0	0	100	2	"13.8705,101.1457"	1432	28010	492	439
BGR	??????? 3	??????????	45.49	10.2774935	44973.195	6.61	3.5654206	145	37.955	0	0	100	2	"13.4839,100.9727"	340	7520	261	233
BSK	???????? 2	??????????	77.41	18.052887	79070.91	1.53	0.935	2	0.4675	0	0	100	3	"13.5669,100.9387"	484	4021	493	440
BSL	???????? 3	??????????	64.15	27.410946	119956.375	1.37	0.5104785	87	5.09	0	0	100	2	"13.6063,100.9447"	198	1298	312	279
BSM	???????? 1	??????????	123.25	69.23532	303146.3	2.31	1.4143354	83	5.8424997	0	0	150	3	"13.5795,100.9259"	330	355	738	660
BSU	???????? 4 (?)	??????????	1199.9	24.960419	109324.69	0.08	0.08	2	0.02	0	0	50	1	"13.5793,100.9502"	129	130	275	246
BWA	?????? 1	??????????	62.74	21.402885	93738.1	19.089998	15.955714	32	35.525	0	0	100	2	"13.5159,100.9824"	733	13212	627	560
BWB	?????? 2	??????????	58.99	25.940586	113618.24	1.08	1.08	3	0.27	0	0	100	2	"13.5271,100.9675"	711	18487	499	445
CCA	?????????? 1	??????????	97.66999	31.53968	138120.23	0.67999995	0.35095236	45	1.4325	0	0	100	2	"13.6253,101.0324"	1289	28778	733	654
CCB	?????????? 2	??????????	75.68	21.701723	95053.4	2.18	2.18	1	0.545	0	0	100	2	"13.6604,101.0879"	987	18763	541	483
CCX	?????????? 3 (?)	??????????	64.47	17.229008	75219.5	2.97	1.5024999	1658	38.627483	8	4	50	1		65	1882	31	27
FYU	??????? (?)	??????????	37.989998	17.828417	78013.414	5.48	3.7575116	74	43.972492	0	0	50	1	"13.5839,101.2781"	911	20911	406	362
HSR	????????	??????????	45.989998	15.689096	68718.24	0	0	0	0	0	0	100	2	"13.6006,101.3443"	247	306	452	404
KOB	???????? 2	??????????	31.66	12.131208	52915.8	3.7400002	1.6030467	678	35.747498	6	3	100	2	"13.6080,100.9815"	226	2709	286	255
